client_id,samples,mean_training_ms,max_training_ms,encapsulation_ms,signing_ms,mean_encrypt_ms,mean_decrypt_ms,sent_messages,received_messages,peak_cpu_percent,peak_memory_mib
uav-client-1,1230,768.321,2168.595,1.657036,0.686133,0.066906,0.083056,49,37,69.13,274.2
uav-client-2,1046,957.645,2704.245,2.024748,0.350226,0.069207,0.10537,45,33,61.52,272.6
uav-client-3,591,1625.086,4693.74,4.947335,0.921952,0.072917,0.288102,16,4,36.8,272.5
uav-client-4,2027,724.646,1923.522,1.747609,0.236302,0.057413,0.089394,60,48,101.46,274.2
uav-client-5,1254,1199.657,3411.007,1.476692,0.279097,0.06939,0.091344,32,20,47.52,274.1
