operation,count,mean,median,min,max
decapsulation_ms,5,0.144408,0.137463,0.074097,0.253297
decrypt_ms,142,0.097327,0.059482,0.037027,1.273899
encapsulation_ms,5,2.370684,1.747609,1.476692,4.947335
encrypt_ms,202,0.065469,0.057951,0.011484,0.266379
server_signature_verification_ms,5,0.479897,0.297642,0.268998,1.043709
sign_ms,5,1.293552,0.532875,0.386204,4.323781
signing_ms,5,0.494742,0.350226,0.236302,0.921952
verify_ms,5,0.628108,0.468659,0.372104,1.160429
